   index	                                url_name	                category	         gformat	           start	             due	name	path	module_id	data	chapter_mid
      32	        fba73a7798d243af8cee2079b5b655e8	                    html	            None	2014-02-24 00:30:00	            None	  	/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d/1/2	BerkeleyX/Stat_2.1x/sequential/b52c7361da704e97869f57e90201455d/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      33	        86d19fb30a264366a7abc42b4ffbbfa5	                 problem	            None	2014-02-24 00:30:00	            None		/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d/1/3	BerkeleyX/Stat_2.1x/problem/86d19fb30a264366a7abc42b4ffbbfa5	{"weight": 0.000000}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      34	        e241951b3dc74b348730c81312784c7c	                    html	            None	2014-02-24 00:30:00	            None	  	/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d/1/4	BerkeleyX/Stat_2.1x/sequential/b52c7361da704e97869f57e90201455d/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      35	        1bfb86817d1a47f7871d15e55748dba4	              sequential	graded exercises	2050-02-24 00:30:00	2014-03-02 23:00:00	Graded Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4	BerkeleyX/Stat_2.1x/sequential/1bfb86817d1a47f7871d15e55748dba4	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      36	        d898a785c94c4954b53b4fa708f67bc0	                vertical	graded exercises	2050-02-24 00:30:00	2014-03-02 23:00:00	Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1	BerkeleyX/Stat_2.1x/vertical/d898a785c94c4954b53b4fa708f67bc0	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      37	        911ab75c5ee542aabe1a37a5a00ba363	                    html	graded exercises	2050-02-24 00:30:00	2013-02-28 23:30:00	Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1/1	BerkeleyX/Stat_2.1x/sequential/1bfb86817d1a47f7871d15e55748dba4/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      38	        bca4bf0e4a3f4bb78be160b7ce50a8cf	                    html	graded exercises	2050-02-24 00:30:00	2013-02-28 23:30:00	Problem 1	/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1/2	BerkeleyX/Stat_2.1x/sequential/1bfb86817d1a47f7871d15e55748dba4/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      39	        c6f144e5bfd44e35a500c8139d12d446	                 problem	graded exercises	2050-02-24 00:30:00	2014-03-02 23:00:00		/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1/3	BerkeleyX/Stat_2.1x/problem/c6f144e5bfd44e35a500c8139d12d446	{"weight": 5.000000}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      40	        d4c96e5d2ea244ceb783a71af8f2d5d1	                    html	graded exercises	2050-02-24 00:30:00	2013-02-28 23:30:00	Problem 2 	/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1/4	BerkeleyX/Stat_2.1x/sequential/1bfb86817d1a47f7871d15e55748dba4/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      41	        f24fdffc385d4a398efb5b41166e95fe	                 problem	graded exercises	2050-02-24 00:30:00	2014-03-02 23:00:00		/36bcbc2a9dbd4f4b8546f13c035b2759/1bfb86817d1a47f7871d15e55748dba4/1/5	BerkeleyX/Stat_2.1x/problem/f24fdffc385d4a398efb5b41166e95fe	{"weight": 3.000000}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
